"";"Methode";"alpha";"beta";"sigma2"
"457";"EM";-0,0163061701460338;0,994045994214052;0,191753765423174
"458";"Boot";-0,0310742229320627;0,981839187912475;0,247618392697235
"459";"Bayes";0,00107561560061428;0,971446054078468;0,548872450726056
"460";"Moy";-0,2436784665151;0,699162748957907;0,0769449897397488
"461";"Reg. Lin.";-0,0439556495653533;0,990454317942525;0,0560075572039446
"462";"Reg. Lin. Sto.";-0,0404555961770147;0,986158381474154;0,231348412582225
"463";"EM";0,00407803030300616;0,977490724985528;0,156465143981352
"464";"Boot";0,00350781353940546;0,966304131462784;0,213624899573203
"465";"Bayes";0,00158386346463313;0,964553835621785;0,509616335722254
"466";"Moy";-0,139745671014187;0,733928767558235;0,0713116919354454
"467";"Reg. Lin.";0,0107650380983027;0,97822396429475;0,0479812749154082
"468";"Reg. Lin. Sto.";0,00650689433279927;0,979881314423801;0,181503950362295
"469";"EM";-0,0483214880696052;1,02694393753614;0,140552318872982
"470";"Boot";-0,154125355257776;1,04506178531426;0,181735086217491
"471";"Bayes";0,000202875228939135;0,966800050615837;0,474676233253836
"472";"Moy";0,0694950684532875;0,547274343163982;0,0754567768896352
"473";"Reg. Lin.";-0,129714858368424;1,04810147604053;0,0446771223068782
"474";"Reg. Lin. Sto.";-0,135028722679361;1,05284693755872;0,154525592651588
"475";"EM";-0,0237646396815823;0,984996339065355;0,181892108172723
"476";"Boot";-0,0711767439667819;0,99602584695011;0,254244628696303
"477";"Bayes";-0,00145444081119593;0,96821284005753;0,532719656550859
"478";"Moy";-0,169604911593217;0,694320196019993;0,0766748922486524
"479";"Reg. Lin.";-0,0618517144194301;0,979910408917177;0,0518416232722802
"480";"Reg. Lin. Sto.";-0,0706492076649064;0,977655064891725;0,215327175032412
"481";"EM";-0,0257541000036523;0,965383691450007;0,178115190582978
"482";"Boot";-0,0683662706837186;0,929917150217365;0,234059629217582
"483";"Bayes";-0,00279084327143177;0,965022411551718;0,527386216521244
"484";"Moy";-0,04318102827575;0,572266776464369;0,0798321706398083
"485";"Reg. Lin.";-0,0669344260170762;0,965011111956838;0,050990002766674
"486";"Reg. Lin. Sto.";-0,0592240464781795;0,96979673559188;0,208643294856983
"487";"EM";-0,0266052396696555;1,07936250163889;0,16466461677997
"488";"Boot";-0,073066102818591;1,07998650546439;0,219311228521608
